date,open,close,high,low,volume
2024-01-02,6.65,6.57,6.69,6.57,134732.76
2024-01-03,6.55,6.43,6.57,6.4,131668.84
2024-01-04,6.41,6.51,6.54,6.39,134579.26
2024-01-05,6.51,6.29,6.55,6.26,180063.03
2024-01-08,6.29,6.18,6.33,6.18,107943.6
2024-01-09,6.22,6.18,6.32,6.16,119627.2
2024-01-10,6.16,6.05,6.16,6.03,121128.0
2024-01-11,6.06,6.23,6.24,6.03,123493.58
2024-01-12,6.21,6.16,6.26,6.14,93625.15
2024-01-15,6.13,6.08,6.17,6.03,71479.47
2024-01-16,6.1,6.04,6.11,5.96,96350.05
2024-01-17,6.08,5.9,6.08,5.89,81739.04
2024-01-18,5.84,5.89,5.96,5.72,154210.06
2024-01-19,5.9,5.76,5.91,5.75,84958.8
2024-01-22,5.79,5.42,5.82,5.37,143635.88
2024-01-23,5.35,5.39,5.45,5.32,129362.31
2024-01-24,5.4,5.44,5.49,5.21,146694.81
2024-01-25,5.45,5.59,5.61,5.37,174166.01
2024-01-26,5.57,5.53,5.63,5.5,142611.37
2024-01-29,5.54,5.34,5.6,5.34,116101.27
2024-01-30,5.34,5.23,5.43,5.21,114561.85
2024-01-31,5.18,4.84,5.22,4.8,212550.68
2024-02-01,4.82,4.79,4.92,4.72,132291.49
2024-02-02,4.77,4.48,4.87,4.32,197998.84
2024-02-05,4.44,3.91,4.48,3.85,285980.92
2024-02-06,3.86,4.11,4.25,3.62,312293.82
2024-02-07,4.14,4.0,4.24,3.92,250700.9
2024-02-08,4.02,4.46,4.53,3.97,326186.12
2024-02-19,4.61,4.62,4.67,4.46,298406.89
2024-02-20,4.62,4.68,4.7,4.48,196125.53
2024-02-21,4.61,4.73,4.89,4.57,264948.1
2024-02-22,4.71,4.85,4.86,4.68,222525.18
2024-02-23,4.86,5.09,5.12,4.83,296464.16
2024-02-26,5.17,5.18,5.32,5.05,334567.49
2024-02-27,5.17,5.44,5.44,5.12,330890.92
2024-02-28,5.44,4.92,5.48,4.9,443330.91
2024-02-29,4.88,5.21,5.21,4.84,265321.44
2024-03-01,5.21,5.3,5.31,5.17,214000.57
2024-03-04,5.29,5.24,5.33,5.13,185237.4
2024-03-05,5.19,5.16,5.2,5.03,184422.38
2024-03-06,5.16,5.22,5.29,5.1,152262.92
2024-03-07,5.29,5.12,5.35,5.1,217412.04
2024-03-08,5.12,5.17,5.2,5.07,148028.66
2024-03-11,5.21,5.36,5.38,5.21,324486.15
2024-03-12,5.34,5.48,5.52,5.3,366445.68
2024-03-13,5.46,5.5,5.55,5.43,265310.01
2024-03-14,5.45,5.77,5.99,5.42,613352.25
2024-03-15,5.68,5.73,5.73,5.58,342896.3
2024-03-18,5.68,5.8,5.8,5.64,337478.85
2024-03-19,5.76,5.69,5.8,5.69,239483.89
2024-03-20,5.69,5.7,5.74,5.64,225071.45
2024-03-21,5.7,5.68,5.73,5.59,203443.43
2024-03-22,5.68,5.55,5.68,5.5,207046.02
2024-03-25,5.48,5.35,5.6,5.35,221148.7
2024-03-26,5.35,5.45,5.49,5.34,196842.69
2024-03-27,5.46,5.14,5.46,5.11,194535.22
2024-03-28,5.15,5.35,5.42,5.14,215274.24
2024-03-29,5.41,5.5,5.62,5.39,215339.22
2024-04-01,5.48,5.63,5.67,5.47,206150.86
2024-04-02,5.64,5.52,5.65,5.48,164752.17
2024-04-03,5.5,5.35,5.51,5.3,157418.44
2024-04-08,5.35,5.26,5.4,5.25,121547.1
2024-04-09,5.24,5.61,5.79,5.23,376639.22
2024-04-10,5.59,5.35,5.62,5.34,265964.22
2024-04-11,5.39,5.48,5.79,5.38,267494.15
2024-04-12,5.48,5.23,5.56,5.23,233388.2
2024-04-15,5.19,4.95,5.25,4.81,231222.97
2024-04-16,4.92,4.51,4.92,4.47,201683.47
2024-04-17,4.61,4.9,4.93,4.61,194212.48
2024-04-18,4.92,4.83,4.95,4.81,138946.91
2024-04-19,4.82,4.78,4.89,4.73,123751.2
2024-04-22,4.73,4.74,4.83,4.63,94657.93
2024-04-23,4.77,4.88,4.93,4.73,124614.13
2024-04-24,4.84,5.0,5.01,4.84,124636.68
2024-04-25,5.08,5.07,5.17,5.02,153537.52
2024-04-26,5.03,5.19,5.21,5.03,162686.22
2024-04-29,5.24,5.38,5.38,5.24,186475.71
2024-04-30,5.43,5.34,5.44,5.28,148217.12
2024-05-06,5.37,5.43,5.49,5.37,144355.64
2024-05-07,5.43,5.46,5.48,5.35,124367.1
2024-05-08,5.45,5.35,5.46,5.35,104850.47
2024-05-09,5.35,5.39,5.45,5.34,79721.55
2024-05-10,5.4,5.27,5.42,5.25,106413.98
2024-05-13,5.23,5.12,5.24,5.1,102521.39
2024-05-14,5.13,5.11,5.2,5.11,94068.07
2024-05-15,5.12,5.05,5.13,5.04,79826.58
2024-05-16,5.07,5.07,5.16,5.06,76820.07
2024-05-17,5.06,5.15,5.16,5.04,86290.11
2024-05-20,5.15,5.14,5.23,5.12,93503.84
2024-05-21,5.13,5.06,5.15,5.03,86545.2
2024-05-22,5.06,5.1,5.14,5.05,64275.68
2024-05-23,5.12,4.97,5.12,4.94,89874.4
2024-05-24,4.98,4.88,5.0,4.88,67370.0
2024-05-27,4.91,4.94,4.95,4.82,72855.77
2024-05-28,4.95,4.93,4.99,4.88,65801.13
2024-05-29,4.9,5.05,5.07,4.9,109704.6
2024-05-30,4.98,5.05,5.09,4.96,92519.24
2024-05-31,5.09,5.17,5.2,5.07,142292.29
2024-06-03,5.16,5.05,5.2,5.0,111647.75
2024-06-04,5.04,4.93,5.04,4.83,118476.64
2024-06-05,4.94,5.29,5.61,4.87,469617.89
2024-06-06,5.19,4.88,5.26,4.87,357027.75
2024-06-07,4.92,4.94,5.11,4.84,238327.5
2024-06-11,4.91,4.92,4.92,4.64,179003.02
2024-06-12,4.86,4.94,5.0,4.84,134383.6
2024-06-13,4.96,4.84,4.96,4.82,136835.24
2024-06-14,4.85,4.93,4.94,4.74,115509.77
2024-06-17,4.94,5.04,5.26,4.91,244299.56
2024-06-18,5.06,5.53,5.62,5.04,709789.18
2024-06-19,5.47,5.37,5.51,5.36,409927.36
2024-06-20,5.39,5.22,5.45,5.2,305783.84
2024-06-21,5.19,5.26,5.3,5.14,234402.04
2024-06-24,5.17,5.41,5.49,5.11,468508.18
2024-06-25,5.34,5.51,5.61,5.26,545112.48
2024-06-26,5.39,5.57,5.58,5.22,447696.0
2024-06-27,5.5,5.35,5.57,5.33,311774.16
2024-06-28,5.42,5.71,6.22,5.41,803480.33
2024-07-01,5.7,5.64,5.74,5.55,468548.73
2024-07-02,5.67,5.52,5.67,5.48,300971.36
2024-07-03,5.51,5.54,5.68,5.47,333442.62
2024-07-04,5.49,5.58,5.74,5.31,378078.97
2024-07-05,5.48,5.42,5.5,5.32,235732.76
2024-07-08,5.36,4.95,5.45,4.93,333821.94
2024-07-09,4.92,5.07,5.09,4.82,258324.63
2024-07-10,5.06,5.35,5.84,5.02,565710.99
2024-07-11,5.45,5.64,5.7,5.39,528962.76
2024-07-12,5.61,5.59,5.66,5.51,272861.31
2024-07-15,5.62,5.72,5.8,5.54,381504.41
2024-07-16,5.64,5.68,5.77,5.62,322632.19
2024-07-17,5.62,5.4,5.64,5.37,285820.58
2024-07-18,5.35,5.4,5.41,5.14,249676.91
2024-07-19,5.38,5.63,5.7,5.33,388464.54
2024-07-22,5.57,5.68,5.73,5.54,320995.2
2024-07-23,5.64,5.71,6.05,5.59,598242.54
2024-07-24,5.66,5.93,6.13,5.52,870035.49
2024-07-25,5.81,6.2,6.45,5.8,940378.94
2024-07-26,6.15,6.19,6.37,6.01,769735.16
2024-07-29,6.08,6.04,6.14,5.94,472521.39
2024-07-30,6.03,6.08,6.22,5.96,526726.26
2024-07-31,5.99,6.31,6.35,5.91,693277.33
2024-08-01,6.24,6.29,6.53,6.13,659595.4
2024-08-02,6.13,5.96,6.24,5.93,436218.34
2024-08-05,5.92,5.8,6.07,5.79,363972.33
2024-08-06,5.89,5.85,5.93,5.72,259139.02
2024-08-07,5.82,5.78,5.91,5.78,207094.55
2024-08-08,5.79,5.56,5.8,5.51,314835.98
2024-08-09,5.59,5.57,5.71,5.56,175648.6
2024-08-12,5.52,5.54,5.59,5.44,145767.89
2024-08-13,5.53,5.71,5.72,5.52,198912.8
2024-08-14,5.66,5.61,5.7,5.53,185639.3
2024-08-15,5.55,5.8,5.83,5.47,326959.22
2024-08-16,5.77,5.76,5.88,5.72,253748.25
2024-08-19,5.71,5.66,5.9,5.65,189591.8
2024-08-20,5.64,5.35,5.64,5.26,304184.06
2024-08-21,5.32,5.25,5.36,5.24,142540.21
2024-08-22,5.23,5.11,5.28,5.08,173361.15
2024-08-23,5.12,5.16,5.21,5.07,112718.92
2024-08-26,5.16,5.18,5.22,5.12,104143.44
2024-08-27,5.15,5.04,5.15,5.01,127519.0
2024-08-28,5.04,5.06,5.11,4.98,78392.37
2024-08-29,5.06,5.18,5.2,5.01,146063.2
2024-08-30,5.19,5.27,5.36,5.15,212994.8
2024-09-02,5.24,5.15,5.3,5.14,134247.4
2024-09-03,5.15,5.2,5.26,5.13,98486.74
2024-09-04,5.14,5.14,5.22,5.09,92676.6
2024-09-05,5.14,5.19,5.23,5.13,82564.6
2024-09-06,5.19,5.26,5.29,5.17,193501.69
2024-09-09,5.21,5.14,5.22,5.11,110025.72
2024-09-10,5.16,5.24,5.28,5.13,125743.6
2024-09-11,5.21,5.18,5.23,5.16,80594.2
2024-09-12,5.18,5.09,5.24,5.09,85593.0
2024-09-13,5.11,4.91,5.13,4.89,163238.81
2024-09-18,4.93,4.9,4.98,4.81,66580.8
2024-09-19,4.94,5.03,5.05,4.9,87720.4
2024-09-20,5.04,5.0,5.07,4.97,67093.2
2024-09-23,5.0,5.04,5.07,4.96,65369.74
2024-09-24,5.05,5.2,5.2,4.98,180606.48
2024-09-25,5.25,5.2,5.34,5.2,224767.74
